zeit_utc,open,high,low,close,volume
2026-03-24 04:00,6635.00,6680.50,6573.50,6606.00,1924003
2026-03-25 04:00,6646.50,6684.75,6616.50,6640.75,1709266
2026-03-26 04:00,6641.50,6647.00,6517.00,6525.00,1689160
2026-03-27 04:00,6536.00,6568.50,6389.00,6412.25,1918291
2026-03-30 04:00,6380.00,6481.75,6359.50,6388.25,1793061
2026-03-31 04:00,6385.25,6583.25,6353.25,6570.75,2363577
2026-04-01 04:00,6562.00,6653.75,6561.00,6617.75,1752607
2026-04-02 04:00,6618.50,6644.50,6503.75,6622.25,1965184
2026-04-06 04:00,6590.00,6661.00,6567.00,6651.00,1103916
2026-04-07 04:00,6650.50,6673.50,6572.75,6656.75,1997800
2026-04-08 04:00,6689.00,6847.25,6652.25,6823.75,2199329
2026-04-09 04:00,6814.25,6876.00,6792.50,6863.25,1604541
2026-04-10 04:00,6858.00,6888.00,6846.25,6855.25,1312566
2026-04-13 04:00,6780.00,6928.25,6767.00,6922.75,1541313
2026-04-14 04:00,6925.25,7008.00,6920.25,7004.75,1356650
2026-04-15 04:00,7004.00,7064.50,6991.75,7060.50,1395387
2026-04-16 04:00,7057.25,7089.00,7046.50,7077.00,1360502
2026-04-17 04:00,7077.25,7185.75,7075.25,7161.50,1847098
2026-04-20 04:00,7102.50,7160.50,7085.00,7148.00,1374523
2026-04-21 04:00,7150.75,7183.00,7085.00,7100.00,1819102
2026-04-22 04:00,7125.00,7173.00,7121.25,7171.25,1185812
2026-04-23 04:00,7163.00,7181.50,7079.25,7143.50,1862446
2026-04-24 04:00,7143.00,7200.50,7135.50,7194.75,1463962
2026-04-27 04:00,7185.00,7211.25,7171.50,7206.00,1085690
2026-04-28 04:00,7204.75,7223.25,7146.25,7171.00,1361467
2026-04-29 04:00,7172.50,7190.75,7131.25,7168.00,1368362
2026-04-30 04:00,7150.00,7253.50,7133.75,7243.75,1732392
2026-05-01 04:00,7256.00,7300.75,7240.75,7258.00,1263615
2026-05-04 04:00,7276.25,7279.75,7199.50,7230.25,1581015
2026-05-05 04:00,7228.75,7304.25,7223.75,7287.25,1115385
2026-05-06 04:00,7300.50,7395.75,7293.50,7389.50,1631260
2026-05-07 04:00,7380.50,7410.50,7345.50,7363.00,1753384
2026-05-08 04:00,7340.00,7427.75,7336.25,7419.00,1312034
2026-05-11 04:00,7403.50,7454.75,7390.50,7436.75,1233354
2026-05-12 04:00,7435.50,7443.75,7363.25,7426.50,1625151
2026-05-13 04:00,7419.25,7483.75,7399.00,7469.50,1301334
2026-05-14 04:00,7477.50,7540.00,7471.00,7525.50,1371818
2026-05-15 04:00,7522.25,7528.25,7409.25,7432.25,1923350
2026-05-18 04:00,7410.00,7454.25,7373.50,7425.75,1983487
2026-05-19 04:00,7423.50,7440.75,7354.25,7378.00,1804940
2026-05-20 04:00,7377.00,7458.00,7356.00,7451.75,1585626
2026-05-21 04:00,7432.75,7486.75,7407.50,7466.00,1738205
2026-05-22 04:00,7467.00,7524.00,7466.75,7491.00,1242275
2026-05-26 04:00,7519.00,7569.75,7517.00,7537.00,1422109
2026-05-27 04:00,7533.00,7570.75,7515.00,7540.00,1291159
2026-05-28 04:00,7553.75,7590.75,7505.75,7581.75,1280521
2026-05-29 04:00,7587.50,7611.50,7572.75,7595.75,1581690
2026-06-01 04:00,7595.00,7632.25,7576.25,7613.25,1392611
2026-06-02 04:00,7612.00,7632.00,7576.50,7623.75,1086612
2026-06-03 04:00,7628.00,7628.50,7541.75,7571.75,1379991
2026-06-04 04:00,7539.75,7611.50,7524.50,7601.00,1242281
2026-06-05 04:00,7589.50,7591.00,7359.00,7400.50,2370312
2026-06-08 04:00,7368.00,7476.75,7355.50,7416.00,1821072
2026-06-09 04:00,7412.75,7491.00,7247.25,7392.75,2505679
2026-06-10 04:00,7380.00,7404.75,7256.00,7278.50,1851849
2026-06-11 04:00,7259.25,7420.00,7232.25,7396.00,2295133
2026-06-12 04:00,7397.50,7461.75,7366.50,7435.00,1864805
2026-06-15 04:00,7480.00,7584.50,7480.00,7561.25,1883235
2026-06-16 04:00,7560.75,7570.50,7509.75,7518.50,904077
2026-06-17 04:00,7514.50,7544.50,7405.00,7424.50,517609
2026-06-18 04:00,7440.50,7514.50,7436.25,7508.43,1671842
2026-06-22 04:00,7543.25,7599.25,7513.00,7541.25,1582505
2026-06-23 04:00,7541.25,7549.50,7415.25,7437.50,1816290
2026-06-24 04:00,7449.25,7496.50,7404.25,7428.25,1864716
2026-06-25 04:00,7476.25,7496.00,7390.50,7423.25,1670252
2026-06-26 04:00,7431.00,7459.50,7357.25,7401.75,1514235
2026-06-29 04:00,7398.00,7505.00,7398.00,7500.25,1520958
2026-06-30 04:00,7495.50,7567.75,7481.75,7548.25,1347483
2026-07-01 04:00,7543.25,7579.00,7505.75,7543.50,1331380
2026-07-02 04:00,7536.00,7593.75,7479.50,7528.25,1766963
2026-07-06 04:00,7562.25,7602.50,7538.25,7591.50,1165299
2026-07-07 04:00,7597.00,7601.25,7529.50,7551.25,1259499
2026-07-08 04:00,7545.00,7563.00,7468.50,7528.75,1503496
2026-07-09 04:00,7517.25,7595.00,7516.25,7588.75,1080972
2026-07-10 04:00,7587.25,7628.75,7552.75,7620.25,1076448
2026-07-13 04:00,7607.00,7615.25,7547.25,7563.00,1272313
2026-07-14 04:00,7557.00,7613.75,7531.50,7591.25,1138130
2026-07-15 04:00,7589.75,7626.25,7571.75,7614.75,1313380
2026-07-16 04:00,7615.00,7632.00,7548.25,7577.75,1323663
2026-07-17 04:00,7572.75,7575.00,7473.00,7497.75,1710680
2026-07-20 04:00,7485.00,7552.00,7476.75,7484.25,1388418
2026-07-21 04:00,7484.00,7554.00,7473.00,7545.75,1038606
2026-07-22 04:00,7545.00,7563.50,7504.00,7540.25,1056769
2026-07-23 04:00,7530.25,7549.50,7411.75,7445.00,1650704
2026-07-24 04:00,7450.50,7496.50,7431.50,7447.50,1450023
2026-07-27 04:00,7490.00,7524.75,7416.25,7448.25,1468720
2026-07-28 04:00,7453.00,7485.75,7417.00,7465.25,1389750
2026-07-29 04:00,7464.00,7501.00,7324.00,7351.25,2067427
2026-07-30 04:00,7338.00,7498.00,7331.00,7472.50,1739568
2026-07-31 04:00,7479.50,7541.00,7427.50,7519.25,1831952
2026-08-03 04:00,7550.00,7637.75,7542.75,7628.25,1457022
2026-08-04 04:00,7631.00,7786.00,7629.00,7765.50,1724914
2026-08-05 04:00,7772.00,7820.25,7745.75,7749.50,1500673
