zeit_utc,open,high,low,close,volume
2026-07-13 04:00,7583.25,7583.25,7575.50,7577.50,0
2026-07-13 05:00,7577.25,7584.25,7566.50,7578.50,15513
2026-07-13 06:00,7578.25,7584.75,7574.00,7584.00,11099
2026-07-13 07:00,7584.25,7591.25,7581.50,7587.75,12857
2026-07-13 08:00,7587.75,7599.50,7586.75,7598.50,13503
2026-07-13 09:00,7598.50,7603.75,7594.75,7601.50,8360
2026-07-13 10:00,7601.75,7602.50,7597.00,7598.00,9371
2026-07-13 11:00,7597.75,7604.50,7592.00,7594.25,13845
2026-07-13 12:00,7594.25,7598.25,7586.00,7597.00,23063
2026-07-13 13:00,7597.00,7609.75,7590.25,7607.50,145416
2026-07-13 14:00,7607.50,7610.50,7573.50,7598.50,219130
2026-07-13 15:00,7598.50,7601.75,7581.75,7583.25,95483
2026-07-13 16:00,7583.25,7589.00,7560.00,7570.25,134871
2026-07-13 17:00,7570.00,7578.00,7563.25,7563.50,78992
2026-07-13 18:00,7563.75,7574.00,7561.00,7567.25,90008
2026-07-13 19:00,7567.25,7571.25,7551.00,7563.00,194913
2026-07-13 20:00,7563.00,7563.50,7547.25,7554.25,52939
2026-07-13 22:00,7557.00,7563.25,7551.00,7552.00,0
2026-07-13 23:00,7552.00,7553.50,7541.50,7553.25,7139
2026-07-14 00:00,7553.50,7560.50,7539.75,7558.50,19758
2026-07-14 01:00,7558.50,7560.25,7546.25,7548.25,10573
2026-07-14 02:00,7548.50,7554.75,7539.00,7540.50,10353
2026-07-14 03:00,7540.50,7544.75,7531.50,7544.00,12601
2026-07-14 04:00,7542.50,7561.50,7538.50,7560.25,7906
2026-07-14 05:00,7560.50,7573.75,7558.00,7568.25,10839
2026-07-14 06:00,7568.00,7575.25,7559.00,7559.00,10689
2026-07-14 07:00,7559.25,7566.00,7552.50,7559.00,12686
2026-07-14 08:00,7559.00,7564.50,7552.50,7554.25,12336
2026-07-14 09:00,7554.50,7564.00,7551.25,7557.50,9486
2026-07-14 10:00,7557.75,7566.00,7553.25,7557.00,9356
2026-07-14 11:00,7557.00,7564.25,7544.00,7555.75,24594
2026-07-14 12:00,7555.50,7613.75,7544.75,7579.50,75064
2026-07-14 13:00,7579.50,7588.25,7564.25,7583.50,147532
2026-07-14 14:00,7583.50,7603.75,7556.50,7587.50,177877
2026-07-14 15:00,7587.50,7601.50,7576.25,7579.75,137028
2026-07-14 16:00,7580.00,7589.25,7570.00,7589.25,82473
2026-07-14 17:00,7589.25,7596.75,7585.25,7593.25,61103
2026-07-14 18:00,7593.50,7598.25,7587.00,7592.00,63827
2026-07-14 19:00,7592.25,7596.00,7587.00,7590.00,125005
2026-07-14 20:00,7590.00,7592.50,7585.75,7591.00,31272
2026-07-14 22:00,7589.75,7592.25,7583.00,7589.00,0
2026-07-14 23:00,7589.00,7604.25,7587.75,7602.75,6681
2026-07-15 00:00,7602.75,7604.50,7592.50,7601.50,10137
2026-07-15 01:00,7601.75,7604.50,7596.00,7604.25,7311
2026-07-15 02:00,7604.50,7607.50,7602.50,7603.25,6909
2026-07-15 03:00,7603.25,7608.25,7601.25,7607.25,4421
2026-07-15 04:00,7606.25,7608.50,7605.75,7608.50,3691
2026-07-15 05:00,7608.50,7613.50,7602.50,7609.00,10042
2026-07-15 06:00,7609.25,7611.00,7606.25,7607.75,7829
2026-07-15 07:00,7607.50,7609.00,7593.50,7604.50,13987
2026-07-15 08:00,7604.50,7607.25,7595.75,7606.75,12535
2026-07-15 09:00,7606.75,7610.75,7603.75,7604.50,8167
2026-07-15 10:00,7604.75,7606.75,7597.00,7601.50,8144
2026-07-15 11:00,7601.00,7603.75,7598.00,7600.00,8410
2026-07-15 12:00,7600.00,7614.75,7592.50,7611.50,28264
2026-07-15 13:00,7611.50,7626.25,7601.25,7614.50,166955
2026-07-15 14:00,7614.50,7626.00,7597.25,7604.75,210281
2026-07-15 15:00,7605.00,7611.50,7592.00,7596.25,130146
2026-07-15 16:00,7596.25,7598.00,7571.75,7586.75,152959
2026-07-15 17:00,7587.00,7616.25,7586.00,7612.50,115318
2026-07-15 18:00,7612.50,7619.75,7601.00,7602.00,100607
2026-07-15 19:00,7602.00,7618.00,7600.50,7616.75,169796
2026-07-15 20:00,7616.75,7619.75,7608.75,7616.00,40497
2026-07-15 22:00,7615.00,7622.25,7613.25,7618.25,0
2026-07-15 23:00,7618.25,7622.00,7614.75,7616.25,3321
2026-07-16 00:00,7616.25,7627.75,7614.25,7616.50,11810
2026-07-16 01:00,7616.75,7619.00,7610.25,7614.50,9229
2026-07-16 02:00,7614.75,7623.50,7611.00,7622.75,8084
2026-07-16 03:00,7622.75,7625.25,7621.00,7624.00,5321
2026-07-16 04:00,7624.00,7626.50,7620.50,7621.75,4313
2026-07-16 05:00,7622.00,7632.00,7615.50,7617.00,11519
2026-07-16 06:00,7617.25,7625.00,7611.00,7618.25,12296
2026-07-16 07:00,7618.25,7618.75,7600.00,7601.75,13673
2026-07-16 08:00,7601.75,7610.00,7593.50,7609.50,15327
2026-07-16 09:00,7609.75,7615.50,7605.00,7605.00,11075
2026-07-16 10:00,7605.25,7607.75,7600.75,7603.00,9946
2026-07-16 11:00,7602.75,7603.50,7580.75,7597.25,25017
2026-07-16 12:00,7597.00,7599.00,7580.50,7586.50,32384
2026-07-16 13:00,7586.75,7604.25,7575.50,7588.00,165612
2026-07-16 14:00,7587.75,7615.00,7585.25,7611.25,182512
2026-07-16 15:00,7611.00,7613.50,7598.75,7604.75,139845
2026-07-16 16:00,7605.00,7605.50,7583.00,7598.25,126169
2026-07-16 17:00,7598.25,7598.75,7579.50,7582.25,83392
2026-07-16 18:00,7582.25,7586.50,7568.00,7571.50,108043
2026-07-16 19:00,7571.25,7579.50,7548.25,7577.25,211916
2026-07-16 20:00,7577.25,7578.00,7566.25,7569.25,44399
