zeit_utc,open,high,low,close,volume
2024-05-03 04:00,17763.00,17763.75,17748.00,17751.25,0
2024-05-03 05:00,17751.50,17761.25,17745.50,17756.25,2017
2024-05-03 06:00,17756.00,17756.75,17732.00,17733.75,5345
2024-05-03 07:00,17734.00,17746.75,17719.50,17746.75,5454
2024-05-03 08:00,17746.25,17768.50,17741.25,17760.25,6435
2024-05-03 09:00,17761.00,17763.75,17743.50,17760.00,3939
2024-05-03 10:00,17760.75,17779.00,17752.00,17753.50,5294
2024-05-03 11:00,17753.00,17772.00,17740.25,17747.75,5658
2024-05-03 12:00,17747.00,17962.25,17743.25,17924.25,46520
2024-05-03 13:00,17923.25,18018.75,17915.25,18000.25,99515
2024-05-03 14:00,18000.75,18050.25,17893.75,17925.50,131467
2024-05-03 15:00,17925.50,18004.75,17895.25,17987.00,57373
2024-05-03 16:00,17987.00,18008.00,17962.00,17972.25,34470
2024-05-03 17:00,17972.50,18004.25,17967.00,17986.00,28502
2024-05-03 18:00,17986.25,18027.75,17985.50,18008.75,29318
2024-05-03 19:00,18009.00,18024.50,17987.75,18001.25,47501
2024-05-03 20:00,18001.50,18027.50,18000.00,18025.50,12530
2024-05-05 22:00,18047.50,18063.75,18026.00,18032.00,3258
2024-05-05 23:00,18032.00,18033.75,18000.75,18005.00,3872
2024-05-06 00:00,18005.00,18014.50,17995.00,18006.00,3940
2024-05-06 01:00,18006.00,18012.00,17999.50,18010.75,2509
2024-05-06 02:00,18011.50,18014.50,18004.25,18005.50,1502
2024-05-06 03:00,18005.25,18007.25,17998.50,18005.50,1346
2024-05-06 04:00,18006.25,18006.25,17989.50,17995.00,1345
2024-05-06 05:00,17994.25,18000.00,17983.75,17995.75,2599
2024-05-06 06:00,17995.75,18023.00,17995.50,18018.25,3826
2024-05-06 07:00,18018.75,18028.75,18000.50,18000.75,6323
2024-05-06 08:00,18001.00,18036.50,18000.75,18028.25,5535
2024-05-06 09:00,18028.50,18045.75,18025.00,18043.75,4194
2024-05-06 10:00,18043.00,18059.75,18041.25,18052.25,6519
2024-05-06 11:00,18052.25,18052.25,18036.75,18042.50,6061
2024-05-06 12:00,18042.50,18072.75,18037.50,18059.25,10422
2024-05-06 13:00,18058.75,18109.75,18042.75,18109.75,68348
2024-05-06 14:00,18109.75,18116.75,18079.25,18098.25,56105
2024-05-06 15:00,18097.75,18121.50,18078.25,18111.25,35885
2024-05-06 16:00,18111.50,18119.25,18067.25,18117.50,38757
2024-05-06 17:00,18117.75,18132.25,18093.00,18128.50,30096
2024-05-06 18:00,18128.50,18154.75,18123.50,18145.75,30661
2024-05-06 19:00,18145.50,18198.25,18129.50,18197.75,49308
2024-05-06 20:00,18197.50,18201.25,18179.25,18185.50,16158
2024-05-06 22:00,18189.50,18193.00,18175.50,18192.00,0
2024-05-06 23:00,18191.75,18196.75,18179.50,18184.25,2553
2024-05-07 00:00,18184.00,18188.25,18171.25,18177.75,2792
2024-05-07 01:00,18178.25,18183.50,18168.75,18181.50,2973
